Action,Copy,Path,Description,Notes
Exclude,0,AppData\Local\Apps,Per-user app data for various Windows apps,!Warning - Broad exclusion; may impact app performance/behavior; only exclude if you understand app dependencies.
Exclude,0,AppData\Local\Assembly,.NET Framework per-user assembly shadow copies,!Warning - Excluding can impact performance of some .NET apps (more re-generation); but reduces profile size.
Exclude,0,AppData\Local\CEF,Chromium Embedded Framework cache/data,Usually safe; can increase first-launch time for CEF apps; resets embedded browser state.
Exclude,0,AppData\Local\Comms,Windows communications cache/data,Generally safe; may affect some messaging/communications app state.
Exclude,0,AppData\Local\CrashDumps,Per-user crash dump files,Safe; reduces profile bloat from dumps.
Exclude,0,AppData\Local\Deployment,ClickOnce deployment cache,!Warning - Excluding may break ClickOnce apps or force re-download each session.
Exclude,0,AppData\Local\Downloaded Installations,Windows per-user installer cache,!Warning - May break repair/uninstall of per-user installed apps; exclude only if you accept re-installs.
Exclude,0,AppData\Local\FSLogix,FSLogix local logs/cache,Safe; recommended to keep container lean.
Exclude,0,AppData\Local\Google\Chrome SxS\User Data\Default Cache,Chrome Canary (SxS) cache,Safe to exclude; reduces size; cache rebuilds.
Exclude,0,AppData\Local\Google\Chrome\User Data\Ad Blocking,Chrome component/extension data (ad blocking),May reset extension component state; generally acceptable.
Exclude,0,AppData\Local\Google\Chrome\User Data\BrowserMetrics,Chrome metrics/telemetry cache,Safe.
Exclude,0,AppData\Local\Google\Chrome\User Data\CertificateRevocation,Chrome cert revocation cache,Safe; may re-fetch revocation data.
Exclude,0,AppData\Local\Google\Chrome\User Data\CertificateTransparency,Chrome CT cache,Safe.
Exclude,0,AppData\Local\Google\Chrome\User Data\Crashpad,Chrome crash reporting cache,Safe.
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\Application Cache,Chrome legacy appcache,Safe; web apps may re-cache content.
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\blob_storage,Chrome blob storage (web app state),Can impact some web apps; may force sign-in/state rebuild.
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\BudgetDatabase,Chrome storage budget DB,Safe; low user impact.
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\Cache,Chrome HTTP cache,Safe; improves profile size; increases first-browse downloads.
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\Cached Theme Image,Chrome cached theme imagery,Safe.
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\Code Cache,Chrome code cache (JS/WASM),Safe; pages may load slower on first run.
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\File System,Chrome FileSystem API storage,May affect some web apps/offline storage; accept if non-persistent.
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\GPUCache,Chrome GPU shader cache,Safe; rebuilds; minor first-render cost.
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\IndexedDB,Chrome IndexedDB storage,"!Warning - Can break persistence for many web apps (M365, Teams web, etc.); expect re-login and lost offline state."
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\JumpListIcons,Chrome jumplist icons cache,Safe.
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\JumpListIconsOld,Chrome old jumplist icons cache,Safe.
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\JumpListIconsRecentlyClosed,Chrome jumplist cache (recently closed),Safe.
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\JumpListIconsTopSites,Chrome jumplist cache (top sites),Safe.
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\Local Storage,Chrome Local Storage (web app state),!Warning - Many sites rely on it for tokens/preferences; exclusion can increase sign-in prompts.
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\Media Cache,Chrome media cache,Safe; re-download media content.
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\Pepper Data\Shockwave Flash\CacheWriteableAdobeRoot,Legacy Pepper Flash cache,Safe; Flash is deprecated; usually irrelevant.
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\Service Worker,Chrome service worker storage,May affect offline-capable web apps; typically OK in non-persistent.
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\SessionStorage,Chrome session storage,Safe; resets per-session web state; may log users out of some sessions.
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\Storage,Chrome storage (various),Broad impact; can reset web app state; only exclude if acceptable.
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\SyncData,Chrome sync working data,May affect Chrome profile sync behavior; users may need to re-sync.
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\SyncDataBackup,Chrome sync backup data,Safe.
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\WebApplications,Chrome installed web apps (PWAs) data,May remove PWA state/icons; acceptable in non-persistent.
Exclude,0,AppData\Local\Google\Chrome\User Data\EVWhitelist,Chrome EV cert whitelist cache,Safe.
Exclude,0,AppData\Local\Google\Chrome\User Data\FileTypePolicies,Chrome file type policies cache,Safe; low impact.
Exclude,0,AppData\Local\Google\Chrome\User Data\InterventionPolicyDatabase,Chrome intervention policies DB,Safe.
Exclude,0,AppData\Local\Google\Chrome\User Data\MEIPreload,Chrome MEI preload list,Safe.
Exclude,0,AppData\Local\Google\Chrome\User Data\OriginTrials,Chrome origin trials cache,Safe.
Exclude,0,AppData\Local\Google\Chrome\User Data\PepperFlash,Legacy PepperFlash component,Safe; deprecated.
Exclude,0,AppData\Local\Google\Chrome\User Data\pnacl,Legacy PNaCl component cache,Safe; deprecated.
Exclude,0,AppData\Local\Google\Chrome\User Data\recovery,Chrome recovery data,Safe.
Exclude,0,AppData\Local\Google\Chrome\User Data\Safe Browsing,Chrome Safe Browsing cache/db,Usually OK; may increase network calls and slow first browsing slightly.
Exclude,0,AppData\Local\Google\Chrome\User Data\ShaderCache,Chrome shader cache,Safe; rebuilds.
Exclude,0,AppData\Local\Google\Chrome\User Data\SmartScreen,Chrome/Windows SmartScreen integration cache,Safe; minimal impact.
Exclude,0,AppData\Local\Google\Chrome\User Data\SSLErrorAssistant,Chrome SSL error assistant cache,Safe.
Exclude,0,AppData\Local\Google\Chrome\User Data\Subresource Filter,Chrome subresource filter cache,Safe.
Exclude,0,AppData\Local\Google\Chrome\User Data\SwiftShader,Chrome SwiftShader binaries/cache,Safe; can re-download; may affect software rendering startup.
Exclude,0,AppData\Local\Google\Chrome\User Data\SwReporter,Chrome Software Reporter data,Safe.
Exclude,0,AppData\Local\Google\Chrome\User Data\Trust Protection Lists,Chrome trust protection lists cache,Safe.
Exclude,0,AppData\Local\Google\Chrome\User Data\WidevineCDM,Widevine DRM module,!Warning - Excluding may break DRM playback (Netflix/DRM content) until module reinstalls.
Exclude,0,AppData\Local\Google\Edge\User Data\Default\Code Cache,Google Chrome WebAssembly cache,!Warning - Google Chrome WebAssembly cache for the primary profile - May impact performance of apps that use WebAssembly
Exclude,0,AppData\Local\Microsoft\Edge\User Data\Default\Cache,Microsoft Edge cache,Microsoft Edge cache for the primary profile - size can also be managed via policy
Exclude,0,AppData\Local\Microsoft\Edge\User Data\Default\Code Cache,Microsoft Edge WebAssembly cache,!Warning - Microsoft Edge WebAssembly cache for the primary profile - May impact performance of apps that use WebAssembly
Exclude,0,AppData\Local\Microsoft\Internet Explorer\DOMStore,IE DOM storage (legacy),Safe; legacy web apps may lose stored site preferences.
Exclude,0,AppData\Local\Microsoft\Internet Explorer\Recovery,IE recovery data (legacy),Safe; prevents stale session recovery bloat.
Exclude,0,AppData\Local\Microsoft\MSOIdentityCRL\Tracing,Office identity tracing logs,Safe.
Exclude,0,AppData\Local\Microsoft\Notifications,Windows notifications database/cache,Safe; users may lose toast history.
Exclude,0,AppData\Local\Microsoft\Office\16.0\Lync\Tracing,Skype for Business/Lync tracing logs,Safe to exclude.
Exclude,0,AppData\Local\Microsoft\Office\SolutionPackages,Office solution add-in cache/packages,Generally safe; can rebuild; may delay first use of some add-ins.
Exclude,0,AppData\Local\Microsoft\olk\Attachments,Microsoft Outlook - Stores user and app data,!Warning - Increased app launch time and repeated sign-ins - Details: https://learn.microsoft.com/en-us/microsoft-365-apps/outlook/get-started/virtualized-desktop-infrastructure
Exclude,0,AppData\Local\Microsoft\olk\EbWebView\default\Cache,Microsoft Outlook - Caches network call contents,!Warning - Resources need to be re-downloaded - Details: https://learn.microsoft.com/en-us/microsoft-365-apps/outlook/get-started/virtualized-desktop-infrastructure
Exclude,0,AppData\Local\Microsoft\olk\EbWebView\default\Code Cache,Microsoft Outlook - Stores cached web/JS scripts,!Warning - Slower app launches due to redownload of scripts - Details: https://learn.microsoft.com/en-us/microsoft-365-apps/outlook/get-started/virtualized-desktop-infrastructure
